player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
ban,T1,2,0,0,0,0,0,0,0,0,Viper,Lotus,League Play: Week 1,119517,184457,Controller,20,No,win
Carpe,T1,2,0,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 1,119517,184457,Initiator,20,No,win
Bazzi,GES,1,1,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 1,119517,184457,Initiator,20,No,lose
AYRIN,GES,0,0,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 1,119517,184457,Sentinel,20,No,lose
WRONSKI,GES,2,1,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119517,184457,Duelist,20,No,lose
Monyet,GES,1,2,0,0,1,0,1,0,0,Omen,Lotus,League Play: Week 1,119517,184457,Controller,20,No,lose
t3xture,GES,1,0,0,0,0,0,0,0,0,Raze,Lotus,League Play: Week 1,119517,184457,Duelist,20,No,lose
Jinggg,PRX,5,1,1,0,1,0,1,0,0,Phoenix,Pearl,League Play: Week 1,119518,184458,Duelist,18,No,win
mindfreak,PRX,1,0,0,0,0,0,0,0,0,Astra,Pearl,League Play: Week 1,119518,184458,Controller,18,No,win
f0rsakeN,PRX,4,0,0,0,2,0,0,0,0,Jett,Pearl,League Play: Week 1,119518,184458,Duelist,18,No,win
Benkai,PRX,4,1,0,0,1,1,0,0,0,Killjoy,Pearl,League Play: Week 1,119518,184458,Sentinel,18,No,win
d4v41,PRX,1,2,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119518,184458,Initiator,18,No,win
takej,DFM,3,1,0,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119518,184458,Controller,18,No,lose
Reita,DFM,2,0,0,0,0,0,0,0,0,Killjoy,Pearl,League Play: Week 1,119518,184458,Sentinel,18,No,lose
Suggest,DFM,3,0,1,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119518,184458,Duelist,18,No,lose
Anthem,DFM,0,0,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119518,184458,Initiator,18,No,lose
xnfri,DFM,1,0,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119518,184458,Controller,18,No,lose
Jinggg,PRX,2,0,1,0,0,0,0,0,0,Raze,Lotus,League Play: Week 1,119519,184458,Duelist,24,Yes,win
mindfreak,PRX,1,0,0,0,2,0,0,0,0,Astra,Lotus,League Play: Week 1,119519,184458,Controller,24,Yes,win
f0rsakeN,PRX,3,0,0,0,1,0,0,0,0,Yoru,Lotus,League Play: Week 1,119519,184458,Duelist,24,Yes,win
Benkai,PRX,2,2,0,0,0,1,0,0,0,Killjoy,Lotus,League Play: Week 1,119519,184458,Sentinel,24,Yes,win
d4v41,PRX,5,3,0,0,1,1,0,0,0,Skye,Lotus,League Play: Week 1,119519,184458,Initiator,24,Yes,win
takej,DFM,1,1,0,0,0,0,0,0,0,Viper,Lotus,League Play: Week 1,119519,184458,Controller,24,Yes,lose
Reita,DFM,4,2,0,0,0,0,0,0,0,Cypher,Lotus,League Play: Week 1,119519,184458,Sentinel,24,Yes,lose
Suggest,DFM,7,2,0,0,0,0,0,0,0,Raze,Lotus,League Play: Week 1,119519,184458,Duelist,24,Yes,lose
Anthem,DFM,3,1,0,1,0,1,0,0,0,Skye,Lotus,League Play: Week 1,119519,184458,Initiator,24,Yes,lose
